Annee,Governorate,Effectif_Ovin,Est_Femelle,Source
2021,Gabès,0.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel selon la race et les délégati.csv
2021,Gabès,0.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel selon la race et les délégati.csv
2021,Gabès,0.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel selon la race et les délégati.csv
2021,Gabès,0.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel selon la race et les délégati.csv
2021,Gabès,0.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel selon la race et les délégati.csv
2021,Gabès,0.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel selon la race et les délégati.csv
2024,Gabès,2399.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,1122.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,3991.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,206.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,190.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,51.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,0.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,366.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,135.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,0.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,6.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,374.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,0.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2024,Gabès,8840.0,False,Répartition du cheptel - Gouvernorat de Gabès - Répartition du cheptel (têtes) 2024.csv
2022,National/Inconnu,82.0,False,Registre National Cheptel.csv
2022,National/Inconnu,7.0,False,Registre National Cheptel.csv
2022,National/Inconnu,17.0,False,Registre National Cheptel.csv
2022,National/Inconnu,64.0,False,Registre National Cheptel.csv
2022,National/Inconnu,134.0,False,Registre National Cheptel.csv
2022,National/Inconnu,10.0,False,Registre National Cheptel.csv
2022,National/Inconnu,0.0,False,Registre National Cheptel.csv
2022,National/Inconnu,314.0,False,Registre National Cheptel.csv
2023,National/Inconnu,130.0,False,Registre National Cheptel.csv
2023,National/Inconnu,6.0,False,Registre National Cheptel.csv
2023,National/Inconnu,76.0,False,Registre National Cheptel.csv
2023,National/Inconnu,23.0,False,Registre National Cheptel.csv
2023,National/Inconnu,73.0,False,Registre National Cheptel.csv
2023,National/Inconnu,36.0,False,Registre National Cheptel.csv
2023,National/Inconnu,6.0,False,Registre National Cheptel.csv
2023,National/Inconnu,350.0,False,Registre National Cheptel.csv
2020,Béja,40000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2020,Béja,35000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2020,Béja,45000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2020,Béja,58000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2020,Béja,30000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2020,Béja,40000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2020,Béja,7000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2020,Béja,22000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2020,Béja,23000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2020,Béja,300000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2021,Béja,45000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2021,Béja,35000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2021,Béja,45000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2021,Béja,58000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2021,Béja,32000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2021,Béja,40000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
